planet_num,orbit_length,planet_dist,planet_mass,planet_update,planet_name,planet_facility,planet_telescope,planet_instrument
3,885.5,33.24,0.652,2016-08-18,HD 37124 c,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
3,1862,33.24,0.696,2016-08-18,HD 37124 d,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
2,55.01307,42.88,2.802,2015-02-05,HD 37605 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
2,2720,42.88,3.366,2014-05-14,HD 37605 c,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,363.2,37.78,0.34,2015-09-10,HD 38283 b,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
2,14.3098,42.4,0.839,2014-05-14,HD 38529 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
2,2140.2,42.4,13.38,2014-05-14,HD 38529 c,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,696.3,99.4,10.7,2014-05-14,HD 38801 b,Subaru Telescope,8.2 m Subaru Telescope,HDS Spectrograph
1,2151,18.21,10.27,2014-07-23,HD 39091 b,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
5,4.3123,12.83,0.0126,2014-05-14,HD 40307 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
5,9.6184,12.83,0.0208,2014-05-14,HD 40307 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
5,20.432,12.83,0.0299,2014-05-14,HD 40307 d,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
5,51.76,12.83,0.0164,2014-05-14,HD 40307 f,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
5,197.8,12.83,0.0223,2014-05-14,HD 40307 g,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,264.15,33.3,4.01,2014-05-14,HD 40979 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,963,43.03,2.54,2014-12-03,HD 41004 A b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
1,1.3283,43.03,18.37,2014-12-03,HD 41004 B b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
1,526.62,44.05,1.56,2014-12-03,HD 4113 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
1,857.5,37.1,1.6,2017-03-02,HD 42012 b,Haute-Provence Observatory,1.93 m Telescope,Multiple Instruments
2,437.05,77.82,1.82,2014-05-14,HD 4203 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
2,6700,77.82,2.17,2014-05-14,HD 4203 c,Gemini Observatory,8.19 m Gemini North Telescope,DSSI Speckle Camera
1,828,32.7,0.804,2014-07-23,HD 4208 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,149.61,23.5,0.04531,2016-10-27,HD 42618 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,15.56,21.85,0.0442,2014-12-03,HD 4308 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,356,131.41,2.3,2014-05-14,HD 4313 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,327.8,56.3,0.6,2014-12-03,HD 43197 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,36.96,93.2,2.49,2015-01-22,HD 43691 b,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph
1,472.3,50.4,0.58,2015-01-22,HD 44219 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,963.6,48.95,1.79,2014-09-18,HD 45350 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
2,226.93,32.58,0.1872,2014-05-14,HD 45364 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,342.85,32.58,0.6579,2014-05-14,HD 45364 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,43.6,36.14,0.47,2015-03-26,HD 45652 b,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph
1,3.023573,33.41,0.226,2014-07-23,HD 46375 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
2,4.0845,37.84,0.07167,2015-03-26,HD 47186 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,1353.6,37.84,0.35061,2015-03-26,HD 47186 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,360.2,56.5,2.37,2014-05-14,HD 4732 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
2,2732,56.5,2.37,2014-05-14,HD 4732 c,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,712.13,121.36,7.32,2015-03-26,HD 47536 b,La Silla Observatory,1.52 m ESO Telescope,FEROS Spectrograph
1,780.3,85.4,1.47,2016-11-10,HD 48265 b,Las Campanas Observatory,6.5 m Magellan II Clay Telescope,MIKE Spectrograph
1,4.94737,40.73,0.105,2014-07-23,HD 49674 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,2482.7,47.26,1.71,2014-12-17,HD 50499 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,1293,31.03,4.954,2014-11-19,HD 50554 b,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph
1,119.6,28.07,1.05,2015-03-26,HD 52265 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
2,641,114,1.76,2014-12-03,HD 5319 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
2,886,114,1.15,2014-12-03,HD 5319 c,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,139.35,221,5.78,2016-02-04,HD 5583 b,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph
1,792.6,58.17,1.4,2015-09-03,HD 5608 b,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph
1,492.3,53.6,0.33,2015-01-08,HD 564 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,177.11,150.6,7.6,2014-05-14,HD 5891 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,299.36,96.8,6.92,2016-08-12,HD 59686 A b,Lick Observatory,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph
2,201.9,25.3,1.06,2016-09-08,HD 60532 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,600.1,25.3,2.51,2016-09-08,HD 60532 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,589.64,10.34,2.3,2015-03-26,HD 62509 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,2.818049,35.8,0.398,2015-03-26,HD 63454 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,358,32.62,0.64,2014-05-14,HD 63765 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,22.017,40.32,0.44,2015-11-19,HD 6434 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
2,572.4,35.59,1.26,2014-05-14,HD 65216 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
2,152.6,35.59,0.17,2014-05-14,HD 65216 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,480.5,80.06,6,2014-05-14,HD 66141 b,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph
1,1973,55.04,2.82,2014-07-23,HD 66428 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
2,352.2,88.81,3.06,2015-04-01,HD 67087 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
2,2374,88.81,4.85,2015-04-01,HD 67087 c,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,2496,54.9,1.56,2015-03-26,HD 6718 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,1103,78,3.07,2016-11-10,HD 68402 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,6.27711,58.82,1.86,2015-03-26,HD 68988 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
3,8.667,12.58,0.0321,2015-03-26,HD 69830 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
3,31.56,12.58,0.0371,2015-03-26,HD 69830 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
3,197,12.58,0.057,2015-03-26,HD 69830 d,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,851.8,45.7,6.1,2015-03-26,HD 70573 b,La Silla Observatory,2.2 m MPG/ESO Telescope,FEROS Spectrograph
1,2068,28.76,1.97,2015-03-26,HD 70642 b,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
1,615,35.88,0.29,2014-05-14,HD 7199 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,3658,51.4,3.15,2016-03-10,HD 72659 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,39.475,72.78,5.45,2016-11-10,HD 72892 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,2.54858,36.52,1.87,2015-03-26,HD 73256 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
1,1260,54.91,3.06,2015-03-26,HD 73267 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,188.9,94.61,2.25,2014-05-14,HD 73526 b,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
2,379.1,94.61,2.25,2014-05-14,HD 73526 c,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
1,1770,81,1.103,2015-03-26,HD 73534 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
2,51.645,64.6,1.8,2014-05-14,HD 74156 b,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph
2,2473,64.6,8.06,2014-05-14,HD 74156 c,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph
1,1275,38.52,1.11,2014-05-14,HD 7449 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,3.509267,28.94,0.467,2015-04-16,HD 75289 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
1,341.7,68.7,1.15,2014-12-03,HD 75784 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,418.2,80.58,2.51,2015-04-16,HD 75898 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,3.971,59.7,0.197,2015-04-24,HD 76700 b,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
1,5.7361,41.27,0.05,2014-05-14,HD 77338 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
3,5.39792,16.82,0.02731,2015-05-14,HD 7924 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
3,15.299,16.82,0.02473,2015-05-14,HD 7924 c,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
3,24.451,16.82,0.02026,2015-05-14,HD 7924 d,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,1966.1,48.64,1.34,2014-05-14,HD 79498 b,McDonald Observatory,2.7 m Harlan J. Smith Telescope,Tull Coude Spectrograph
1,111.4357,29.04,3.94,2014-05-14,HD 80606 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,1001.7,32.56,6.86,2015-04-16,HD 81040 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,184.02,88.26,2.7,2014-05-14,HD 81688 b,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph
1,705,112.23,1.3,2014-05-14,HD 82886 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
2,441.47,27.46,1.681,2014-05-14,HD 82943 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
2,220.078,27.46,1.959,2014-05-14,HD 82943 c,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
1,2.985698,43.53,0.398,2014-05-14,HD 83443 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,1313,52.5,0.68,2015-04-16,HD 8535 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,788,33.96,0.132,2014-05-14,HD 85390 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,58.43,11.15,0.011,2015-04-16,HD 85512 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,227,44.2,1.8,2014-05-14,HD 8574 b,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph
1,2.1375,91.16,1.5,2015-04-16,HD 86081 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,1695,42.48,0.92,2014-05-14,HD 86226 b,Las Campanas Observatory,6.5 m Magellan II Clay Telescope,MIKE Spectrograph
1,1475,72.57,7,2015-04-24,HD 86264 b,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
1,1634,38.26,14.2,2014-05-14,HD 8673 b,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph
1,1270,169,3.6,2016-12-01,HD 86950 b,Multiple Observatories,Multiple Telescopes,Multiple Instuments
1,13.481,73.58,12.4,2016-08-18,HD 87646 b,Apache Point Observatory,2.5m Sloan Digital Sky Survey (SDSS) Telescope,KeckET
1,2754,18.06,1.78,2015-04-24,HD 87883 b,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
1,3.4148674,74.46,1.02,2016-10-13,HD 88133 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,2157,30.88,1.78,2015-04-24,HD 89307 b,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
1,256.78,39,8.44,2014-05-14,HD 89744 b,Fred Lawrence Whipple Observatory,1.5 m Tillinghast Reflector Telescope,AFOE Echelle Spectrograph
1,49.77,22.09,0.057,2014-05-14,HD 90156 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,1179,78.93,1.11,2016-11-10,HD 9174 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,325,32.32,3.58,2015-04-24,HD 92788 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,143.58,28.9,0.37,2014-05-14,HD 93083 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,30.052,52.85,0.7,2016-03-10,HD 9446 b,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph
2,192.9,52.85,1.82,2016-03-10,HD 9446 c,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph
1,,91.57,5,2014-05-14,HD 95086 b,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera
1,507,149.03,1.2,2014-05-14,HD 95089 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,482,332,5.01,2015-02-05,HD 95127 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
1,4375,7.56,4.6,2015-12-17,HD 95872 b,Multiple Facilities,Multiple Telescopes,Multiple Instruments
1,361.1,132.8,0.9,2014-05-14,HD 96063 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,647.3,221.24,4,2015-05-14,HD 96127 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
1,498.9,84.03,0.68,2015-05-14,HD 96167 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,9.4909,21.3,0.02473,2016-10-27,HD 97658 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,436.9,150.38,1.8,2014-05-14,HD 98219 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,4951,42.77,6.8,2014-05-14,HD 98649 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
1,439.3,60.46,0.502,2014-07-23,HD 99109 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,17.054,55.7,0.079,2016-03-10,HD 99492 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,868,130.89,1.4,2014-05-14,HD 99706 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,184.2,84.6,8.2,2014-06-11,HIP 105854 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,144.3,,1.98,2015-06-04,HIP 107773 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,499.48,56.2,1.56,2016-02-25,HIP 109384 b,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph
1,232.08,58.6,2.68,2016-02-25,HIP 109600 b,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph
1,9.1205,55.2,0.037,2014-12-19,HIP 116454 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,57.435,23.8,0.35,2015-05-14,HIP 12961 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
3,6.673855,52.88,3.88,2015-05-14,HIP 14810 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
3,147.73,52.88,1.28,2015-05-14,HIP 14810 c,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
3,952,52.88,0.57,2015-05-14,HIP 14810 d,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
5,15.5712,116.14,,2016-07-07,HIP 41378 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
5,31.6978,116.14,,2016-07-07,HIP 41378 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
5,156,116.14,,2016-07-07,HIP 41378 d,K2,0.95 m Kepler Telescope,Kepler CCD Array
5,131,116.14,,2016-07-07,HIP 41378 e,K2,0.95 m Kepler Telescope,Kepler CCD Array
5,324,116.14,,2016-07-07,HIP 41378 f,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,345.72,44.8,1.42,2014-05-14,HIP 5158 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,9017.76,44.8,15.04,2015-09-10,HIP 5158 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,41.397,11.03,0.298,2014-05-14,HIP 57050 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
3,8.1352,25.87,0.0365,2015-04-24,HIP 57274 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
3,32.03,25.87,0.40902,2015-04-24,HIP 57274 c,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
3,431.7,25.87,0.5267,2015-03-26,HIP 57274 d,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,124.6,149.25,9.18,2014-05-14,HIP 63242 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
2,28.125,55.5,0.428,2016-02-25,HIP 65407 b,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph
2,67.3,55.5,0.784,2016-02-25,HIP 65407 c,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph
1,1084.5,,6,2015-06-04,HIP 65891 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,2556.5,112.6,11.1,2017-04-27,HIP 67537 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
2,88.9,,1.38,2015-06-04,HIP 67851 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
2,2131.8,,5.98,2015-06-04,HIP 67851 c,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,17337.5,23.98,9,2014-05-14,HIP 70849 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,822.3,91.49,2.4,2016-03-17,HIP 74890 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,511.098,31.33,8.82,2014-07-23,HIP 75458 b,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph
1,,156.7,23,2015-04-01,HIP 78530 b,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera
1,111.7,14.9,2.1,2014-05-14,HIP 79431 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,1560.2,168.63,5.5,2016-03-17,HIP 8541 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,5.0505,44.46,1.068,2014-05-14,HIP 91258 b,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph
1,1058.8,106.5,20,2014-10-03,HIP 97233 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,,18.39,21.9987,2014-05-14,HN Peg b,Spitzer Space Telescope,0.85 m Spitzer Space Telescope,IRAC Infrared Array Camera
1,,33.63,30,2016-09-08,HR 2562 b,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager
1,312,17.24,2.13,2015-04-30,HR 810 b,La Silla Observatory,1.4 m CAT Telescope,CES Spectrograph
4,170000,39.4,7,2014-05-14,HR 8799 b,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera
4,69000,39.4,10,2014-05-14,HR 8799 c,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera
4,37000,39.4,10,2014-05-14,HR 8799 d,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera
4,18000,39.4,,2014-05-14,HR 8799 e,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera
1,19.3044,271,0.08495,2016-02-11,K2-10 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,1.673916,181.5,,2016-12-21,K2-100 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,14.677286,181.5,,2016-12-21,K2-101 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,9.915615,181.5,,2016-12-21,K2-102 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,1.97419,181.5,,2016-12-21,K2-104 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,8.266902,233,0.09439,2017-01-12,K2-105 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,3.31392,,0.84,2017-02-02,K2-107 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,4.73401,,0.18689,2017-02-09,K2-108 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,39.93767,2019,,2015-07-16,K2-11 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,13.86375,118,0.05254,2017-05-18,K2-110 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,5.35117,210,0.02706,2017-05-10,K2-111 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,8.28212,294,,2015-07-16,K2-12 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,39.91488,290,,2015-07-16,K2-13 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,8.36802,219,,2015-07-16,K2-14 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,11.8104,437,,2015-07-16,K2-15 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,7.6188,324,,2016-07-07,K2-16 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,19.07863,324,,2016-07-07,K2-16 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,17.96753,134,,2015-07-16,K2-17 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,32.94488,34,,2015-07-16,K2-18 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,7.9194,291,,2016-07-07,K2-19 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,11.90715,291,,2016-07-07,K2-19 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,2.50856,291,,2016-07-07,K2-19 d,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,9.32414,65,,2015-09-18,K2-21 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,15.5012,65,,2015-09-18,K2-21 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,0.381078,225,1.4,2015-10-15,K2-22 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,20.88508,181,,2016-07-07,K2-24 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,42.36342,181,,2016-07-07,K2-24 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,3.484552,45.7,,2016-01-05,K2-25 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,14.5665,93,,2016-01-21,K2-26 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,6.771315,,0.09722,2017-02-09,K2-27 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,2.260455,53,,2016-02-25,K2-28 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,3.2588321,185,0.73,2016-03-24,K2-29 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,10.05449,42,,2016-07-07,K2-3 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,24.64354,42,,2016-07-07,K2-3 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,44.55983,42,,2016-07-07,K2-3 d,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,4.098503,278,0.579,2016-04-14,K2-30 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,1.25785,,1.774,2016-12-01,K2-31 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,8.99213,,0.05191,2017-02-09,K2-32 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,20.6602,,0.03807,2017-02-09,K2-32 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,31.7154,,0.03241,2017-02-09,K2-32 d,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,5.424865,145,3.7,2016-06-23,K2-33 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,2.995607,377,1.76,2016-06-03,K2-34 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,2.39984,,,2016-07-07,K2-35 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,5.60912,,,2016-07-07,K2-35 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,1.42266,,,2016-07-07,K2-36 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,5.34059,,,2016-07-07,K2-36 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,4.44117,,,2016-07-07,K2-37 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,6.42904,,,2016-07-07,K2-37 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
3,14.09189,,,2016-07-07,K2-37 d,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,4.01593,,0.03776,2016-07-07,K2-38 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,10.56103,,0.03115,2016-07-07,K2-38 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,4.60497,298.18,0.12522,2017-02-09,K2-39 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,10.00329,,,2015-07-16,K2-4 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,6.68796,,,2016-07-18,K2-42 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,3.47114,,,2016-07-18,K2-43 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,5.65688,,,2016-07-18,K2-44 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,1.7292684,,,2016-07-18,K2-45 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,19.1541,,,2016-07-18,K2-46 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,31.6372,,,2016-07-18,K2-47 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
