planet_num,orbit_length,planet_dist,planet_mass,planet_update,planet_name,planet_facility,planet_telescope,planet_instrument
1,578.2,,4.2,2015-09-18,BD+20 274 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
1,41.6855,152.1,0.05129,2016-07-28,BD+20 594 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,392.6,,0.91,2015-08-13,BD+48 738 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
1,2590,,1.6,2015-02-05,BD+49 828 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
2,3.8728,20.1,0.027,2014-05-14,BD-06 1339 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,125.94,20.1,0.17,2014-05-14,BD-06 1339 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,5.6,42.09,0.045,2014-05-14,BD-08 2823 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,237.6,42.09,0.33,2014-05-14,BD-08 2823 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,3.48777,80,0.458,2014-08-27,BD-10 3166 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,1667,27.3,0.53,2015-01-08,BD-11 4672 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,714.3,766,10.6,2015-05-14,BD-13 2130 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
1,655.6,37.54,5.1,2014-05-14,BD-17 63 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,10037.5,23.1,10.5,2014-05-14,CFBDSIR J145829+101343 b,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera
1,,,12.569,2014-05-14,CHXR 73 b,Hubble Space Telescope,2.4 m Hubble Space Telescope,ACS Camera
1,,165,17,2014-05-14,CT Cha b,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera
1,1.5089557,,1.03,2014-05-14,CoRoT-1 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,13.2406,345,2.75,2014-05-14,CoRoT-10 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,2.99433,560,2.33,2014-05-14,CoRoT-11 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,2.828042,1150,0.917,2014-05-14,CoRoT-12 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,4.03519,1060,1.308,2014-05-14,CoRoT-13 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,1.51214,1340,7.6,2014-05-14,CoRoT-14 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,5.35227,840,0.535,2014-05-14,CoRoT-16 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,3.7681,920,2.43,2014-05-14,CoRoT-17 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,1.9000693,870,3.47,2014-05-14,CoRoT-18 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,3.89713,770,1.11,2014-05-14,CoRoT-19 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,1.7429935,200,3.47,2014-05-14,CoRoT-2 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,9.24285,1230,4.24,2014-05-14,CoRoT-20 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,9.75598,592,0.038,2014-08-21,CoRoT-22 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,3.6313,600,2.8,2014-05-14,CoRoT-23 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
2,5.1134,600,0.018,2014-06-11,CoRoT-24 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
2,11.759,600,0.088,2014-06-11,CoRoT-24 c,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,4.86069,1000,0.27,2014-05-14,CoRoT-25 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,4.20474,1670,0.52,2014-05-14,CoRoT-26 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,3.57532,,10.39,2014-05-14,CoRoT-27 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,5.20851,560,0.484,2015-04-16,CoRoT-28 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,2.85057,765,0.85,2015-04-16,CoRoT-29 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,4.2568,680,21.66,2014-05-14,CoRoT-3 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,9.20205,,0.72,2014-05-14,CoRoT-4 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,4.0378962,,0.467,2014-05-14,CoRoT-5 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,8.886593,,2.96,2014-05-14,CoRoT-6 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
2,0.85359159,153.7,0.018,2015-03-05,CoRoT-7 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
2,3.698,153.7,0.02643,2015-09-10,CoRoT-7 c,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,6.21229,380,0.22,2014-05-14,CoRoT-8 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,95.2738,460,0.84,2014-05-14,CoRoT-9 b,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
1,246.36,20.77,28.5,2014-05-14,DENIS-P J082303.1-491201 b,Paranal Observatory,8.2 m ESO VLT UT1 Antu Telescope,FORS2 Spectrograph
1,,140,11,2014-05-14,DH Tau b,Subaru Telescope,8.2 m Subaru Telescope,CIAO Camera
1,10220,,6.05,2014-05-14,DP Leo b,Yunnan Astronomical Observatory,2.4 m Lijiang Station Telescope,6K CCD Mosaic
1,21.169619,181.5,,2016-12-21,EPIC 211822797 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,0.571308,253,,2017-01-26,EPIC 220674823 b,K2,0.95 m Kepler Telescope,Kepler CCD Array
2,13.341245,253,,2017-01-26,EPIC 220674823 c,K2,0.95 m Kepler Telescope,Kepler CCD Array
1,,140,16,2016-03-10,FU Tau b,Spitzer Space Telescope,0.85 m Spitzer Space Telescope,IRAC Infrared Array Camera
1,555530,7.69,,2015-11-19,Fomalhaut b,Hubble Space Telescope,2.4 m Hubble Space Telescope,ACS Camera
1,1.62893,12.04,0.0051,2015-11-12,GJ 1132 b,Cerro Tololo Inter-American Observatory,MEarth-South telescope array,Apogee CCD Sensor
1,1.58040456,,0.0197,2015-12-03,GJ 1214 b,MEarth Project,0.4 m MEarth Telescope,Apogee CCD Sensor
1,11.4433,3.57,0.017,2014-09-18,GJ 15 A b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
3,8.63182,14.97,0.03335,2017-01-26,GJ 163 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
3,25.63058,14.97,0.0214,2017-01-26,GJ 163 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
3,603.95116,14.97,0.0925,2017-01-26,GJ 163 d,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,2288,12.12,0.82,2014-05-14,GJ 179 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
2,18.6498,3.8,0.00909,2017-03-30,GJ 273 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
